,Air_temperature_[K],Process_temperature_[K],Rotational_speed_[rpm],Torque_[Nm],Tool_wear_[min],Temp_Delta,Power_[W],Wear_per_Torque,Speed_Torque_Ratio,Type_H,Type_L,Type_M,Machine_failure
0,298.1,308.6,1551,42.8,0,10.5,6951.59056,0,36.23830929,0,0,1,0
1,298.2,308.7,1408,46.3,3,10.5,6826.722724,0.064794802,30.4103606,0,1,0,0
2,298.1,308.5,1498,49.4,5,10.4,7749.387543,0.101214554,30.3238805,0,1,0,0
3,298.2,308.6,1433,39.5,7,10.4,5927.504659,0.177215145,36.27847183,0,1,0,0
4,298.2,308.7,1408,40,9,10.5,5897.816608,0.224999944,35.1999912,0,1,0,0
5,298.1,308.6,1425,41.9,11,10.5,6252.554779,0.26252977,34.00953842,0,0,1,0
6,298.1,308.6,1558,42.4,14,10.5,6917.703247,0.330188601,36.74527435,0,1,0,0
7,298.1,308.6,1527,40.2,16,10.5,6428.264056,0.398009851,37.98506518,0,1,0,0
8,298.3,308.7,1667,28.6,18,10.4,4992.639989,0.629370409,58.28669291,0,0,1,0
9,298.5,309,1741,28,21,10.5,5104.878623,0.749999732,62.17854922,0,0,1,0
10,298.4,308.9,1782,23.9,24,10.5,4459.993427,1.00418368,74.56063826,1,0,0,0
11,298.6,309.1,1423,44.3,29,10.5,6601.418171,0.654627392,32.12188891,1,0,0,0
12,298.6,309.1,1339,51.1,34,10.5,7165.229333,0.665361905,26.20351738,0,0,1,0
13,298.6,309.2,1742,30,37,10.6,5472.654403,1.233332922,58.06664731,0,0,1,0
14,298.6,309.2,2035,19.6,40,10.6,4176.852153,2.040815285,103.8264776,0,1,0,0
15,298.6,309.2,1542,48.4,42,10.6,7815.52854,0.867768416,31.85949755,0,1,0,0
16,298.6,309.2,1311,46.6,44,10.6,6397.602112,0.944205806,28.13304117,0,0,1,0
17,298.7,309.2,1410,45.6,47,10.5,6733.061375,1.030701528,30.92104585,0,0,1,0
18,298.8,309.2,1306,54.5,50,10.4,7453.63801,0.917431024,23.96329836,1,0,0,0
19,298.9,309.3,1632,32.5,55,10.4,5554.335812,1.692307172,50.21536916,0,0,1,0
20,298.9,309.3,1375,42.7,58,10.4,6148.358622,1.358313499,32.20139761,1,0,0,0
21,298.8,309.3,1450,44.8,63,10.5,6802.595293,1.406249686,32.3660642,0,1,0,0
22,298.9,309.3,1581,30.7,65,10.4,5082.751338,2.117263154,51.49835456,0,0,1,0
23,299,309.4,1758,25.7,68,10.4,4731.301368,2.645913367,68.40464264,0,1,0,0
24,299,309.4,1561,37.3,70,10.4,6097.339158,1.8766751,41.84985473,0,0,1,0
25,299,309.5,1861,23.3,73,10.5,4540.784718,3.133045866,79.87121036,0,1,0,0
26,299.1,309.5,1512,39,75,10.4,6175.11452,1.92307643,38.76922083,0,1,0,0
27,299.1,309.4,1811,24.6,77,10.3,4665.327922,3.130080028,73.61785625,1,0,0,0
28,299.1,309.4,1439,44.2,82,10.3,6660.574361,1.8552032,32.55655372,0,1,0,0
29,299,309.4,1693,30.1,84,10.4,5336.445417,2.790696747,56.24582849,0,1,0,0
30,299.1,309.5,1339,48.2,86,10.4,6758.592051,1.784231995,27.78007722,0,0,1,0
31,299,309.4,1798,25.5,89,10.4,4801.296052,3.49019471,70.50977627,0,1,0,0
32,299,309.4,1419,48.3,91,10.4,7177.25116,1.884057581,29.3788759,0,1,0,0
33,298.9,309.3,1665,32.5,93,10.4,5666.647749,2.861537581,51.23075347,0,1,0,0
34,298.8,309.1,1559,34.7,95,10.3,5665.056009,2.737751372,44.92794094,0,0,1,0
35,298.8,309.2,1452,48.6,98,10.4,7389.779903,2.01646049,29.87653706,0,0,1,0
36,298.9,309.2,1581,36.7,101,10.3,6076.122935,2.752042847,43.07900734,0,0,1,0
37,298.8,309.1,1439,39.2,104,10.3,5907.115723,2.653060548,36.70917431,0,1,0,0
38,298.9,309.2,1379,50.7,106,10.3,7321.513095,2.090729371,27.19920568,1,0,0,0
39,298.8,309.1,1350,52.5,111,10.3,7422.012644,2.114285312,25.71428082,0,1,0,0
40,298.8,309.1,1362,45.4,113,10.3,6475.325114,2.488986236,29.99999339,0,1,0,0
41,298.8,309.1,1368,50.8,115,10.3,7277.43655,2.263779082,26.92912856,0,1,0,0
42,298.8,309.1,1368,49.1,117,10.3,7033.900288,2.382891572,27.86150145,0,0,1,0
43,298.8,309.2,1372,48.5,120,10.4,6968.261945,2.474226294,28.28865396,1,0,0,0
44,298.8,309.1,1472,47.5,125,10.3,7322.005278,2.631578393,30.98946716,0,0,1,0
45,298.8,309.1,1489,49.1,128,10.3,7656.050825,2.606924113,30.3258594,0,1,0,0
46,298.7,309,1843,25.8,130,10.3,4979.361524,5.038757737,71.43408084,0,0,1,0
47,298.8,309.1,1418,46.3,133,10.3,6875.207971,2.872569574,30.62634328,0,1,0,0
48,298.8,309.2,1425,53.9,135,10.4,8043.262591,2.504637754,26.43784296,1,0,0,0
49,298.9,309.2,1412,44.1,140,10.3,6520.815375,3.174602455,32.01813333,0,0,1,0
50,298.9,309.1,2861,4.6,143,10.2,1378.174809,31.08688894,621.9551697,0,1,0,1
51,298.9,309.1,1383,54.9,145,10.2,7951.025431,2.641165275,25.19125224,0,1,0,0
52,298.8,309,1497,43.8,147,10.2,6866.327736,3.356163617,34.17807439,1,0,0,0
